一般漢字語：本文維持の対象一覧
調査基準: 697fd5d2986d4c7bb774c096bdc35aa383083978（ローカル作業一覧草案を含む）
C=cspell全件診断、W=長文分割した許可一覧の補助診断。重複する検出を含む。
各行は同じ語・対応方針の全検出をまとめる。箇所は代表1件で、README.mdのF番号を参照。
未適用の提案。許可候補を自動で登録したものではない。

共通対応J01：本文を維持する。一般漢字語まで個別に許可を要求する契約の見直しを提案する。未適用。
語	W件数	代表箇所
比較	215	F03:17
永続	2	F11:193
永続化	4	F07:28
汎用	5	F07:574
決定	2	F07:21
決定的	6	F07:9
注入	2	F07:590
注意点	3	F08:347
派生	10	F07:1021
流用	3	F07:825
浮遊	1	F07:225
消去	29	F07:317
消失	1	F18:408
消費	2	F07:321
混入	1	F16:205
混在	4	F07:378
減衰	11	F07:597
温存	1	F11:223
準備	34	F03:17
準拠	3	F09:35
漏れ	3	F08:345
漢字	1	F16:104
漢字語	2	F16:112
点検	5	F19:12
無効	5	F07:595
無効化	2	F11:306
無理	3	F07:419
無視	1	F20:111
無関係	2	F07:1170
照合	1	F11:152
片仮名	11	F15:25
片方	2	F11:270
物体	1	F13:218
特定	4	F07:574
犠牲	1	F11:51
状態	325	F02:3
状態量	2	F07:807
状況	7	F03:1
独立	13	F07:398
独立性	1	F10:177
猶予	4	F07:429
現在	48	F02:3
現時点	3	F16:129
現状	10	F08:21
現行	9	F09:3
現象	1	F10:134
理由	18	F07:144
理解	1	F21:1(Serena)
環境	20	F01:29
環境構築	2	F16:86
生存	1	F07:860
生成	49	F02:7
用意	2	F09:59
用語	2	F06:63
用途	5	F07:129
由来	14	F07:141
画像	1	F21:1(SVG)
画面	149	F03:23
略語	14	F20:94
番号	28	F07:138
異常	1	F06:48
異常終了	1	F18:145
擬似	1	F16:195
発火	2	F07:371
発生	2	F07:421
発生源	1	F09:37
発行	6	F08:38
登録	13	F04:55
監査	1	F09:48
監視	13	F11:29
目印	1	F16:134
目安	1	F11:156
目標	6	F07:7
目的	9	F07:3
目視	1	F17:3
直列	2	F07:372
直前	15	F07:674
直後	6	F07:322
直接	3	F16:107
直線	2	F07:752
直訳	1	F10:131
直近	10	F06:37
相互	1	F13:224
相対	19	F04:52
相対的	4	F07:146
相当	29	F04:39
省略	19	F07:142
着信	2	F07:499
着手	7	F05:16
瞬間	9	F04:26
瞬間移動	5	F07:823
矛盾	2	F09:34
短命	4	F07:1147
短時間	5	F07:830
短期	1	F09:36
短縮	1	F14:114
破壊	1	F12:59
破壊的	4	F07:127
破損	11	F07:129
破棄	11	F07:421
破線	1	F11:268
確保	2	F13:281
確定	58	F06:23
確定処理	10	F07:309
確立	1	F08:362
確認	280	F01:7
禁止	2	F16:214
禁止事項	1	F19:13
移動	41	F04:33
移動量	2	F13:311
程度	4	F07:801
種別	3	F07:251
種類	3	F11:208
稼働	1	F07:25
稼働中	2	F07:144
空中	1	F07:857
空欄	1	F19:12
空白	1	F20:111
空行	1	F10:113
空間	16	F08:111
競技	3	F21:1(ball left field)
競技場	127	F03:17
符号	1	F20:109
等速	3	F07:764
箇所	12	F08:111
算出	1	F08:363
管理	54	F03:15
範囲	52	F01:18
範囲指定	1	F12:92
精度	4	F07:150
系列	12	F07:424
系統	3	F07:117
素朴	1	F20:129
索引	34	F04:63
細分化	2	F09:44
終了	6	F12:72
組み合わせ	1	F20:119
組み立て	4	F07:338
経由	2	F07:526
経路	63	F04:52
経過	6	F07:580
結合	3	F08:119
結果	90	F03:16
絞り込み	5	F04:30
統一	3	F07:174
統合	89	F03:16
統計	2	F07:383
絶対値	1	F11:94
継承	2	F10:73
継続	16	F07:248
継続的	1	F21:1(CI)
維持	78	F04:42
綴り	4	F15:12
緑色	1	F13:295
線分	7	F07:88
線形	6	F07:758
編集	18	F07:648
緩和	1	F16:27
縮小	7	F07:584
縮退	13	F15:20
置き場	3	F20:80
置換	1	F16:24
考え方	8	F07:54
考慮	1	F13:276
肥大化	1	F08:263
育成	4	F07:846
背景	4	F13:119
能力	1	F11:140
脚注	9	F05:19
自体	9	F07:905
自分	1	F10:157
自前	115	F07:117
自動	31	F07:1
自動判定	13	F13:22
自明	1	F12:49
自身	5	F07:117
致命的	2	F09:31
色分け	5	F11:229
英単語	9	F15:25
英字	3	F08:267
英日	1	F20:115
英語	4	F10:151
蓄積	1	F07:660
行内	1	F20:109
行数	3	F08:85
行番号	1	F11:74
衝突	5	F07:144
表現	8	F07:129
表示	651	F02:8
表記	19	F15:25
表題	2	F04:8
装置	1	F21:1(NIC)
補助	205	F07:124
補強	1	F09:45
補正	4	F07:788
製品	6	F10:7
製品名	1	F21:1(ASP.NET Core)
複写	1	F20:88
複数	62	F07:20
複数回	1	F07:788
複製	5	F07:726
複雑	4	F07:58
複雑化	1	F11:300
要件	16	F05:19
要否	2	F19:12
要因	1	F07:576
要望	3	F07:599
要求	74	F07:278
要点	1	F07:66
要約	1	F04:53
要素	8	F07:21
見え方	1	F12:96
